number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_cv_scores,user_attrs_mean_score,user_attrs_std_score,state
0,1.0,2025-10-17 06:04:48.402521,2025-10-17 06:04:52.624573,0 days 00:00:04.222052,0.0006155564318973012,dart,0.8540362888980227,0.01699897838270077,2.9152036385288193e-08,0.007177141927992002,4,9,100,tree,0.18340450985343382,uniform,0.3042422429595377,0.8005575058716043,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
1,1.0,2025-10-17 06:04:52.628134,2025-10-17 06:04:53.898189,0 days 00:00:01.270055,0.000784915956255507,gbtree,0.5998368910791798,0.027010527749605478,8.528933855762793e-06,2.1371407316372935e-06,4,5,600,,,,,0.8925879806965068,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
2,1.0,2025-10-17 06:04:53.900176,2025-10-17 06:04:55.182041,0 days 00:00:01.281865,2.3130924416844053e-07,gbtree,0.5488360570031919,0.2521267904777921,0.530953226900921,0.0007250347382396634,3,9,700,,,,,0.6523068845866853,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
3,1.0,2025-10-17 06:04:55.185041,2025-10-17 06:04:56.441102,0 days 00:00:01.256061,1.8841183049085085e-08,gbtree,0.7733551396716398,0.024112898115291985,0.0019960815242513743,9.149877525022172e-05,12,4,200,,,,,0.7600340105889054,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
4,1.0,2025-10-17 06:04:56.443102,2025-10-17 06:04:56.568105,0 days 00:00:00.125003,0.14408501080722544,gbtree,0.6626651653816322,0.22999586428143728,5.1043449526824996e-08,0.32808889626606236,8,2,400,,,,,0.522613644455269,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
5,1.0,2025-10-17 06:04:56.571105,2025-10-17 06:05:00.696287,0 days 00:00:04.125182,1.7679748286442581e-06,dart,0.8861223846483287,0.016149614799999188,0.026156272064707428,7.145401117237584e-06,8,1,200,forest,0.7712703466859457,weighted,0.07404465173409036,0.9934434683002586,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
6,1.0,2025-10-17 06:05:00.698288,2025-10-17 06:05:00.900113,0 days 00:00:00.201825,0.00096913664320239,gbtree,0.8187787356776066,0.012413189635294229,3.075095259104445e-06,0.08032068562667222,6,4,900,,,,,0.864803089169032,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
7,1.0,2025-10-17 06:05:00.903114,2025-10-17 06:05:00.978113,0 days 00:00:00.074999,0.012197768563438372,gbtree,0.5127095633720475,0.13766134492174428,8.919998285789817e-05,0.005081106499593573,8,6,200,,,,,0.7137705091792748,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
8,1.0,2025-10-17 06:05:00.980115,2025-10-17 06:05:25.660887,0 days 00:00:24.680772,0.00011710232809812825,dart,0.5384899549143964,0.02334720250903525,1.918948786414487e-05,3.272260339283011e-06,12,8,300,tree,0.8714605901877177,weighted,0.8036720768991145,0.6143990827458112,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
9,1.0,2025-10-17 06:05:25.662870,2025-10-17 06:10:12.562699,0 days 00:04:46.899829,0.02880853948692919,dart,0.9090073829612466,0.02949372944095386,7.593034903208851e-08,0.00020641342272342887,11,3,900,tree,0.1198653673336828,weighted,0.33761517140362796,0.7135538943131281,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
10,1.0,2025-10-17 06:10:12.563626,2025-10-17 06:10:17.058074,0 days 00:00:04.494448,6.5747334610963975e-06,dart,0.977092324782823,0.06846665620681795,2.040805423198934e-08,1.116805293160088e-08,5,10,100,tree,0.1296005892203277,uniform,0.47712043315383323,0.8382861898713898,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
11,1.0,2025-10-17 06:10:17.061076,2025-10-17 06:12:12.116533,0 days 00:01:55.055457,0.0007202349503619245,dart,0.6806052459496724,0.04908386977625346,1.8631309341082317e-06,1.0261130688108447e-07,3,7,600,forest,0.435131584692072,uniform,0.03307046226619231,0.931530153565872,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
12,1.0,2025-10-17 06:12:12.116533,2025-10-17 06:12:14.325293,0 days 00:00:02.208760,0.988324381030535,gbtree,0.6654564209034075,0.042848349754907034,8.55932395284685e-07,1.747701500687173e-06,5,6,500,,,,,0.8284889666133568,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
13,1.0,2025-10-17 06:12:14.328447,2025-10-17 06:15:31.181265,0 days 00:03:16.852818,2.0291436697747434e-05,dart,0.8308851073086484,0.011204476281341065,0.0010437230412855827,0.00803131642579686,4,5,700,tree,0.3719814094509554,uniform,0.9794255917727445,0.9112309541427832,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
14,1.0,2025-10-17 06:15:31.181265,2025-10-17 06:15:31.422097,0 days 00:00:00.240832,0.0020117568027969105,gbtree,0.5978760660410853,0.08277920303975202,4.289022573288578e-07,2.960701093611516e-07,6,8,500,,,,,0.7861870957350992,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
15,1.0,2025-10-17 06:15:31.425637,2025-10-17 06:18:09.053196,0 days 00:02:37.627559,3.13301666255276e-05,dart,0.7311286119263468,0.018895937756163914,0.00010188414331959397,4.183337813569601e-05,10,10,700,tree,0.2762340660491365,uniform,0.2707608135402544,0.9638753996010055,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
16,1.0,2025-10-17 06:18:09.053196,2025-10-17 06:18:09.308007,0 days 00:00:00.254811,0.00015606225848407767,gbtree,0.9956385980717997,0.03421171181170369,1.1690250447079413e-08,0.006903671843563432,4,7,1000,,,,,0.8978413789249612,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
