number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_cv_scores,user_attrs_mean_score,user_attrs_std_score,state
0,0.9447181171319102,2025-10-17 08:06:07.314771,2025-10-17 08:06:11.745378,0 days 00:00:04.430607,0.0006155564318973012,dart,0.8540362888980227,0.01699897838270077,2.9152036385288193e-08,0.007177141927992002,4,9,100,tree,0.18340450985343382,uniform,0.3042422429595377,0.8005575058716043,"[1.0, 0.9950738916256158, 0.8390804597701149]",0.9447181171319102,0.0747241711255249,COMPLETE
1,0.9967159277504104,2025-10-17 08:06:11.747385,2025-10-17 08:06:13.178446,0 days 00:00:01.431061,0.000784915956255507,gbtree,0.5998368910791798,0.027010527749605478,8.528933855762793e-06,2.1371407316372935e-06,4,5,600,,,,,0.8925879806965068,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
2,0.9885860035070939,2025-10-17 08:06:13.178446,2025-10-17 08:06:14.578915,0 days 00:00:01.400469,2.3130924416844053e-07,gbtree,0.5488360570031919,0.2521267904777921,0.530953226900921,0.0007250347382396634,3,9,700,,,,,0.6523068845866853,"[0.9901960784313726, 0.9853658536585366, 0.9901960784313726]",0.9885860035070939,0.00227698979435173,COMPLETE
3,0.9916912972085385,2025-10-17 08:06:14.578915,2025-10-17 08:06:15.837042,0 days 00:00:01.258127,1.8841183049085085e-08,gbtree,0.7733551396716398,0.024112898115291985,0.0019960815242513743,9.149877525022172e-05,12,4,200,,,,,0.7600340105889054,"[1.0, 0.9950738916256158, 0.98]",0.9916912972085385,0.008508092568953846,COMPLETE
4,0.9933828394970957,2025-10-17 08:06:15.837042,2025-10-17 08:06:15.943269,0 days 00:00:00.106227,0.14408501080722544,gbtree,0.6626651653816322,0.22999586428143728,5.1043449526824996e-08,0.32808889626606236,8,2,400,,,,,0.522613644455269,"[1.0, 0.9950738916256158, 0.9850746268656716]",0.9933828394970957,0.0062094784416386085,COMPLETE
5,0.9933328382470646,2025-10-17 08:06:15.944019,2025-10-17 08:06:19.971816,0 days 00:00:04.027797,1.7679748286442581e-06,dart,0.8861223846483287,0.016149614799999188,0.026156272064707428,7.145401117237584e-06,8,1,200,forest,0.7712703466859457,weighted,0.07404465173409036,0.9934434683002586,"[1.0, 0.9950738916256158, 0.9849246231155779]",0.9933328382470646,0.006276421337145619,COMPLETE
6,0.9967159277504104,2025-10-17 08:06:19.971816,2025-10-17 08:06:20.198574,0 days 00:00:00.226758,0.00096913664320239,gbtree,0.8187787356776066,0.012413189635294229,3.075095259104445e-06,0.08032068562667222,6,4,900,,,,,0.864803089169032,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
7,0.9917569017656813,2025-10-17 08:06:20.199985,2025-10-17 08:06:20.273603,0 days 00:00:00.073618,0.012197768563438372,gbtree,0.5127095633720475,0.13766134492174428,8.919998285789817e-05,0.005081106499593573,8,6,200,,,,,0.7137705091792748,"[1.0, 0.9901960784313726, 0.9850746268656716]",0.9917569017656813,0.006192404913032586,COMPLETE
8,0.9902119412385083,2025-10-17 08:06:20.274897,2025-10-17 08:06:45.649544,0 days 00:00:25.374647,0.00011710232809812825,dart,0.5384899549143964,0.02334720250903525,1.918948786414487e-05,3.272260339283011e-06,12,8,300,tree,0.8714605901877177,weighted,0.8036720768991145,0.6143990827458112,"[0.9950738916256158, 0.9853658536585366, 0.9901960784313726]",0.9902119412385083,0.0039633057762471025,COMPLETE
9,0.9950576338422019,2025-10-17 08:06:45.651254,2025-10-17 08:11:52.462148,0 days 00:05:06.810894,0.02880853948692919,dart,0.9090073829612466,0.02949372944095386,7.593034903208851e-08,0.00020641342272342887,11,3,900,tree,0.1198653673336828,weighted,0.33761517140362796,0.7135538943131281,"[1.0, 0.9950738916256158, 0.9900990099009901]",0.9950576338422019,0.004042078629600882,COMPLETE
10,0.9967159277504104,2025-10-17 08:11:52.463928,2025-10-17 08:11:52.925606,0 days 00:00:00.461678,7.708350495795242e-06,gbtree,0.6673975881116182,0.05524583510011332,2.5381575968614207e-06,1.116805293160088e-08,5,6,600,,,,,0.9664436350226056,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
11,0.9967159277504104,2025-10-17 08:11:52.927622,2025-10-17 08:11:53.544525,0 days 00:00:00.616903,0.0023121675577285196,gbtree,0.76239557160304,0.010702144752273476,2.1018368949269197e-06,1.346590149677046e-07,6,5,1000,,,,,0.8838129988503957,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
12,0.9967159277504104,2025-10-17 08:11:53.545909,2025-10-17 08:11:55.506628,0 days 00:00:01.960719,0.7549033471792843,gbtree,0.9837182417326966,0.06267355493796273,1.4449812871678247e-06,0.414303091990384,6,4,800,,,,,0.8559889011067059,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
13,0.9967159277504104,2025-10-17 08:11:55.507728,2025-10-17 08:11:57.352899,0 days 00:00:01.845171,5.099970761324995e-05,gbtree,0.6609829496798532,0.0391075478200794,0.0014367773803692758,1.7375119578588515e-06,3,7,500,,,,,0.9079188213597362,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
14,0.9967159277504104,2025-10-17 08:11:57.352899,2025-10-17 08:11:59.355582,0 days 00:00:02.002683,0.0011176438464401484,gbtree,0.6081241805218955,0.012019354324879937,2.060296356300457e-05,0.014292781889608653,6,4,700,,,,,0.8381580857512372,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
15,0.9967159277504104,2025-10-17 08:11:59.355582,2025-10-17 08:11:59.680815,0 days 00:00:00.325233,0.00014344286259028352,gbtree,0.8146643330149077,0.08857880219688087,6.09640970276366e-07,1.74730470668211e-05,10,2,1000,,,,,0.9369225641580514,"[1.0, 0.9950738916256158, 0.9950738916256158]",0.9967159277504104,0.0023221897575912863,COMPLETE
