number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_cv_scores,user_attrs_mean_score,user_attrs_std_score,state
0,1.0,2025-10-17 07:44:36.503148,2025-10-17 07:44:40.940082,0 days 00:00:04.436934,0.0006155564318973012,dart,0.8540362888980227,0.01699897838270077,2.9152036385288193e-08,0.007177141927992002,4,9,100,tree,0.18340450985343382,uniform,0.3042422429595377,0.8005575058716043,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
1,1.0,2025-10-17 07:44:40.944405,2025-10-17 07:44:42.376166,0 days 00:00:01.431761,0.000784915956255507,gbtree,0.5998368910791798,0.027010527749605478,8.528933855762793e-06,2.1371407316372935e-06,4,5,600,,,,,0.8925879806965068,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
2,1.0,2025-10-17 07:44:42.378172,2025-10-17 07:44:43.823799,0 days 00:00:01.445627,2.3130924416844053e-07,gbtree,0.5488360570031919,0.2521267904777921,0.530953226900921,0.0007250347382396634,3,9,700,,,,,0.6523068845866853,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
3,1.0,2025-10-17 07:44:43.825806,2025-10-17 07:44:45.533018,0 days 00:00:01.707212,1.8841183049085085e-08,gbtree,0.7733551396716398,0.024112898115291985,0.0019960815242513743,9.149877525022172e-05,12,4,200,,,,,0.7600340105889054,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
4,1.0,2025-10-17 07:44:45.535828,2025-10-17 07:44:45.674479,0 days 00:00:00.138651,0.14408501080722544,gbtree,0.6626651653816322,0.22999586428143728,5.1043449526824996e-08,0.32808889626606236,8,2,400,,,,,0.522613644455269,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
5,1.0,2025-10-17 07:44:45.674479,2025-10-17 07:44:52.146029,0 days 00:00:06.471550,1.7679748286442581e-06,dart,0.8861223846483287,0.016149614799999188,0.026156272064707428,7.145401117237584e-06,8,1,200,forest,0.7712703466859457,weighted,0.07404465173409036,0.9934434683002586,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
6,1.0,2025-10-17 07:44:52.146029,2025-10-17 07:44:52.410367,0 days 00:00:00.264338,0.00096913664320239,gbtree,0.8187787356776066,0.012413189635294229,3.075095259104445e-06,0.08032068562667222,6,4,900,,,,,0.864803089169032,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
7,1.0,2025-10-17 07:44:52.410367,2025-10-17 07:44:52.550817,0 days 00:00:00.140450,0.012197768563438372,gbtree,0.5127095633720475,0.13766134492174428,8.919998285789817e-05,0.005081106499593573,8,6,200,,,,,0.7137705091792748,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
8,1.0,2025-10-17 07:44:52.550817,2025-10-17 07:45:21.769299,0 days 00:00:29.218482,0.00011710232809812825,dart,0.5384899549143964,0.02334720250903525,1.918948786414487e-05,3.272260339283011e-06,12,8,300,tree,0.8714605901877177,weighted,0.8036720768991145,0.6143990827458112,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
9,1.0,2025-10-17 07:45:21.770799,2025-10-17 07:50:21.340190,0 days 00:04:59.569391,0.02880853948692919,dart,0.9090073829612466,0.02949372944095386,7.593034903208851e-08,0.00020641342272342887,11,3,900,tree,0.1198653673336828,weighted,0.33761517140362796,0.7135538943131281,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
10,1.0,2025-10-17 07:50:21.340190,2025-10-17 07:50:25.773860,0 days 00:00:04.433670,6.5747334610963975e-06,dart,0.977092324782823,0.06846665620681795,2.040805423198934e-08,1.116805293160088e-08,5,10,100,tree,0.1296005892203277,uniform,0.47712043315383323,0.8382861898713898,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
11,1.0,2025-10-17 07:50:25.773860,2025-10-17 07:51:50.584003,0 days 00:01:24.810143,0.0007202349503619245,dart,0.6806052459496724,0.04908386977625346,1.8631309341082317e-06,1.0261130688108447e-07,3,7,600,forest,0.435131584692072,uniform,0.03307046226619231,0.931530153565872,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
12,1.0,2025-10-17 07:51:50.586009,2025-10-17 07:51:52.413252,0 days 00:00:01.827243,0.988324381030535,gbtree,0.6654564209034075,0.042848349754907034,8.55932395284685e-07,1.747701500687173e-06,5,6,500,,,,,0.8284889666133568,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
13,1.0,2025-10-17 07:51:52.415262,2025-10-17 07:55:09.046950,0 days 00:03:16.631688,2.0291436697747434e-05,dart,0.8308851073086484,0.011204476281341065,0.0010437230412855827,0.00803131642579686,4,5,700,tree,0.3719814094509554,uniform,0.9794255917727445,0.9112309541427832,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
14,1.0,2025-10-17 07:55:09.046950,2025-10-17 07:55:09.193011,0 days 00:00:00.146061,0.0020117568027969105,gbtree,0.5978760660410853,0.08277920303975202,4.289022573288578e-07,2.960701093611516e-07,6,8,500,,,,,0.7861870957350992,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
15,1.0,2025-10-17 07:55:09.194430,2025-10-17 07:59:02.334865,0 days 00:03:53.140435,3.13301666255276e-05,dart,0.7311286119263468,0.018895937756163914,0.00010188414331959397,4.183337813569601e-05,10,10,700,tree,0.2762340660491365,uniform,0.2707608135402544,0.9638753996010055,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
16,1.0,2025-10-17 07:59:02.334865,2025-10-17 07:59:02.612037,0 days 00:00:00.277172,0.00015606225848407767,gbtree,0.9956385980717997,0.03421171181170369,1.1690250447079413e-08,0.006903671843563432,4,7,1000,,,,,0.8978413789249612,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
17,1.0,2025-10-17 07:59:02.614036,2025-10-17 08:00:00.738581,0 days 00:00:58.124545,0.0032399328986348255,dart,0.7442157445622907,0.017911955280822973,1.238890889072636e-05,0.0009793817596344572,6,4,400,forest,0.023825157229407756,uniform,0.6298542309753593,0.801283895348451,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
18,1.0,2025-10-17 08:00:00.739420,2025-10-17 08:01:05.804695,0 days 00:01:05.065275,0.02699060691061122,dart,0.5942572915365154,0.09885759827954706,4.198882501266729e-07,0.08863801085512006,4,5,600,tree,0.7289637952647285,uniform,0.24943381016139093,0.8805991604929907,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
19,1.0,2025-10-17 08:01:05.804695,2025-10-17 08:01:06.015860,0 days 00:00:00.211165,1.1769999784176586e-06,gbtree,0.8964369725675054,0.03163866300433793,0.0022114188742919064,0.9544619677859453,7,8,800,,,,,0.7051984933566552,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
20,1.0,2025-10-17 08:01:06.018814,2025-10-17 08:01:07.921990,0 days 00:00:01.903176,0.00029816051040952487,gbtree,0.822821353462357,0.010419876563375794,1.0603503997985909e-07,1.5738440958898618e-05,3,7,400,,,,,0.5158108276738461,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
21,1.0,2025-10-17 08:01:07.921990,2025-10-17 08:01:08.164086,0 days 00:00:00.242096,1.0728836867728128e-08,gbtree,0.5873366638078266,0.22826449042231658,0.251774499857465,0.000701465614891741,3,9,700,,,,,0.6463567920534523,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
22,1.0,2025-10-17 08:01:08.164086,2025-10-17 08:01:08.407744,0 days 00:00:00.243658,9.886882223166784e-08,gbtree,0.5606541860885016,0.15225715557618477,0.8468788956055794,0.0012697505287164379,5,9,800,,,,,0.6394630052141119,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
23,1.0,2025-10-17 08:01:08.407744,2025-10-17 08:01:08.627698,0 days 00:00:00.219954,4.797119945783439e-07,gbtree,0.6322765939187626,0.040369462427675806,0.014130361791943581,0.032647255053262124,4,9,600,,,,,0.5841372178408165,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
24,1.0,2025-10-17 08:01:08.629029,2025-10-17 08:01:08.875305,0 days 00:00:00.246276,2.9936794375887433e-05,gbtree,0.5054307540806646,0.29292813456331085,0.0005244986360912877,7.627495247729336e-07,3,10,800,,,,,0.670018512175047,"[1.0, 1.0, 1.0]",1.0,0.0,COMPLETE
